S.No.,State ,City,ICAO,FAA,IATA,Airport,Role,Enplanements
24,Alaska,Sitka,PASI,SIT,SIT,Sitka Rocky Gutierrez Airport,P-N,80366
25,Alaska,Unalaska,PADU,DUT,DUT,Unalaska Airport (Tom Madsen/Dutch Harbor Airport),P-N,19099
26,Alaska,Utqiaġvik (Barrow),PABR,BRW,BRW,Wiley Post–Will Rogers Memorial Airport,P-N,31898
27,Alaska,Wrangell,PAWG,WRG,WRG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,12100
28,Alaska,Yakutat,PAYA,YAK,YAK,Yakutat Airport (also see Yakutat Seaplane Base),P-N,10899
29,Arizona,Flagstaff,KFLG,FLG,FLG,Flagstaff Pulliam Airport,P-N,115596
30,Arizona,Mesa,KIWA,IWA,AZA,Phoenix–Mesa Gateway Airport (formerly Williams AFB),P-S,795407
31,Arizona,Page,KPGA,PGA,PGA,Page Municipal Airport,P-N,14340
32,Arizona,Phoenix,KPHX,PHX,PHX,Phoenix Sky Harbor International Airport,P-L,18940287
33,Arizona,Prescott,KPRC,PRC,PRC,Prescott Municipal Airport (Ernest A. Love Field),P-N,23598
34,Arizona,Tucson,KTUS,TUS,TUS,Tucson International Airport,P-S,1323536
35,Arizona,Yuma,KNYL,NYL,YUM,Yuma International Airport / MCAS Yuma,P-N,110182
36,Arizona,Fayetteville,KXNA,XNA,XNA,Northwest Arkansas National Airport,P-S,598787
37,Arizona,Fort Smith,KFSM,FSM,FSM,Fort Smith Regional Airport,P-N,45369
38,Arizona,Little Rock,KLIT,LIT,LIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,827922
39,Arizona,Texarkana,KTXK,TXK,TXK,Texarkana Regional Airport (Webb Field),P-N,26888
40,California,Arcata/Eureka,KACV,ACV,ACV,California Redwood Coast–Humboldt County Airport,P-N,94652
41,California,Bakersfield,KBFL,BFL,BFL,Meadows Field Airport,P-N,131327
42,California,Burbank,KBUR,BUR,BUR,Hollywood Burbank Airport ,P-M,1942417
43,California,Fresno,KFAT,FAT,FAT,Fresno Yosemite International Airport,P-S,960594
44,California,Long Beach,KLGB,LGB,LGB,Long Beach Airport ,P-S,1039432
45,California,Los Angeles,KLAX,LAX,LAX,Los Angeles International Airport,P-L,23663410
46,California,Monterey,KMRY,MRY,MRY,Monterey Regional Airport,P-N,188658
47,California,Oakland,KOAK,OAK,OAK,Oakland International Airport,P-M,4011953
48,California,Ontario,KONT,ONT,ONT,Ontario International Airport,P-M,2201528
49,California,Orange County,KSNA,SNA,SNA,John Wayne Airport,P-M,3807205
50,California,Palm Springs,KPSP,PSP,PSP,Palm Springs International Airport,P-S,1044045
51,California,Redding,KRDD,RDD,RDD,Redding Municipal Airport,P-N,58295
52,California,Sacramento,KSMF,SMF,SMF,Sacramento International Airport,P-M,4760275
53,California,San Bernardino,KSBD,SBD,SBD,San Bernardino International Airport,P-L,20000
54,California,San Diego,KSAN,SAN,SAN,San Diego International Airport,P-L,7836360
55,California,San Francisco,KSFO,SFO,SFO,San Francisco International Airport,P-L,11725347
56,California,San Jose,KSJC,SJC,SJC,Norman Y. Mineta San José International Airport,P-M,3619690
57,California,San Luis Obispo,KSBP,SBP,SBP,San Luis Obispo County Regional Airport,P-N,200634
58,California,Santa Barbara,KSBA,SBA,SBA,Santa Barbara Airport,P-S,440229
59,California,Santa Maria,KSMX,SMX,SMX,Santa Maria Airport ,P-N,27916
60,California,Santa Rosa,KSTS,STS,STS,Charles M. Schulz–Sonoma Airport,P-N,216059
61,California,Stockton,KSCK,SCK,SCK,Stockton Metropolitan Airport,P-N,69235
62,Colorado,Alamosa,KALS,ALS,ALS,San Luis Valley Regional Airport ,P-N,11987
63,Colorado,Aspen,KASE,ASE,ASE,Aspen/Pitkin County Airport ,P-N,248781
64,Colorado,Colorado Springs,KCOS,COS,COS,City of Colorado Springs Municipal Airport,P-S,941917
65,Colorado,Denver,KDEN,DEN,DEN,Denver International Airport,P-L,28645527
66,Colorado,Durango,KDRO,DRO,DRO,Durango–La Plata County Airport,P-N,200245
67,Colorado,Eagle/Vail,KEGE,EGE,EGE,Eagle County Regional Airport,P-N,201752
68,Colorado,Grand Junction,KGJT,GJT,GJT,Grand Junction Regional Airport (Walker Field),P-N,252290
69,Colorado,Gunnison,KGUC,GUC,GUC,Gunnison–Crested Butte Regional Airport,P-N,38783
70,Colorado,Hayden,KHDN,HDN,HDN,Yampa Valley Airport (Yampa Valley Regional),P-N,150142
71,Colorado,Montrose,KMTJ,MTJ,MTJ,Montrose Regional Airport,P-N,188355
72,Connecticut,Hartford,KBDL,BDL,BDL,Bradley International Airport,P-M,2273259
73,Connecticut,New Haven,KHVN,HVN,HVN,Tweed-New Haven Airport,P-N,29732
74,Delaware,Wilmington,KILG,ILG,ILG,Wilmington Airport,P-N,12476
